id,level,difficulty,type,topic,concept,question,option_a,feedback_a,option_b,feedback_b,option_c,feedback_c,option_d,feedback_d,correct
tr-a2-011,A2,medium,grammar,tense,simple past,"Dün hava çok güzeldi, bu yüzden parkta iki saat ___.",yürüyorum,This is present continuous and conflicts with the completed past-time context “dün.”,yürüyeceğim,This is future and conflicts with “dün.”,yürüdüm,"“Dün” establishes completed past time, and “yürüdüm” means I walked.",yürürüm,"The aorist usually expresses a habit/general action, not this specific completed event.",C
tr-a2-012,A2,hard,grammar,tense,future,Yarın erken kalkmam gerekiyor çünkü saat dokuzda doktor___ ___.,gittim,“Gittim” means I went and is past tense.,gidiyorum,"This can sometimes describe a planned future, but with the explicit A2 future-tense target, the future form is the direct match.",giderim,The aorist normally expresses habits/general actions here.,gideceğim,“Yarın” and the planned appointment support the future form “gideceğim”: I will go.,D
tr-a2-013,A2,easy,grammar,tense,aorist habit,Ben genellikle kahvaltıdan sonra kahve ___.,içerim,“Genellikle” describes a habit; the aorist “içerim” naturally expresses what I usually do.,içtim,“İçtim” is a completed past action.,içiyorum,“İçiyorum” normally focuses on an action in progress or a current pattern rather than the neutral habitual form targeted here.,içeceğim,“İçeceğim” is future.,A
tr-a2-014,A2,medium,grammar,negation,past negative,"Dün çok yorgundum, bu yüzden arkadaşlarımla dışarı ___.",çıkıyorum,"This is present continuous, not a completed past-time form.",çıkmadım,"The negative past “çıkmadım” means I did not go out, matching the reason given.",çıkacağım,This is future tense.,çıkarım,This is aorist and normally describes a habit/general tendency.,B
tr-a2-015,A2,hard,grammar,questions,question particle,Which sentence correctly asks “Are you tired?” in Turkish?,Yorgun musun?,"The question particle follows vowel harmony: “yorgun” takes “mu,” and second-person singular is expressed in “musun.”",Yorgun misin?,"The particle should be “mu” after the back rounded vowel in “yorgun,” not “mi.”",Yorgun sen mi?,This changes the focus and is not the normal equivalent of the requested question.,Musun yorgun?,This word order is not the standard neutral way to ask the question.,A
tr-a2-016,A2,easy,grammar,vowel harmony,plural suffix,Which plural form is correct?,kitapler,"After the back vowel a, the plural suffix is -lar, not -ler.",evlar,"After the front vowel e, the plural suffix is -ler, not -lar.",okullar,"“Okul” has a back vowel u, so the plural suffix follows two-way vowel harmony: “okullar.”",günlar,"After the front vowel ü, the plural suffix is -ler: “günler.”",C
tr-a2-017,A2,medium,grammar,sound changes,consonant softening,“Kitap” kelimesine belirtme durumu eki getirildiğinde hangi biçim doğrudur?,kitapı,"Before the vowel-initial accusative suffix, final p normally softens to b in this word.",kitabı,"“Kitap” becomes “kitabı”: p softens to b before the vowel-initial suffix, and ı follows vowel harmony.",kitapi,"The vowel should be ı, and the final p also softens to b.",kitaba,"“Kitaba” is the dative form, meaning to the book.",B
tr-a2-018,A2,hard,grammar,postpositions,göre,Bence bu restoran pahalı. Mehmet___ göre ise fiyatlar normal.,için,"“Mehmet için” means for Mehmet, not according to Mehmet.",gibi,“Mehmet gibi” means like Mehmet.,ile,“Mehmet ile” means with Mehmet.,e,“Mehmet'e göre” means according to Mehmet; “göre” takes the dative.,D
tr-a2-019,A2,easy,grammar,conjunctions,cause,Bugün evde kalıyorum ___ kendimi iyi hissetmiyorum.,çünkü,“Çünkü” introduces the reason: I am staying home because I do not feel well.,ama,"“Ama” expresses contrast, not cause.",veya,“Veya” means or.,sonra,“Sonra” means after/later and does not introduce the reason here.,A
tr-a2-020,A2,medium,grammar,comparison,comparative,"Bu çanta 500 lira, o çanta 800 lira. Bu çanta o çanta___ daha ucuz.",ya,The dative does not form this comparison.,yı,The accusative does not mark the comparison standard.,dan,Turkish uses the ablative with “daha” for this comparison: “o çantadan daha ucuz.”,da,The locative means at/in and does not form the comparison.,C
tr-a2-021,A2,hard,grammar,existence,var yok,Evde ekmek kalmadı. Markete gitmemiz gerekiyor. Which sentence expresses the situation?,Evde çok ekmek var.,"This says there is a lot of bread, contradicting “ekmek kalmadı.”",Evde ekmek yok.,"“Ekmek yok” means there is no bread, matching the context.",Ev ekmekte.,This is not a grammatical way to express existence.,Ekmek evden.,This means roughly that the bread is from the house and does not express absence.,B
tr-a2-022,A2,easy,grammar,ability,-(y)ebil,Türkçeyi biraz anlıyorum ama hızlı konuşmaları iyi ___.,anlayamıyorum,"“Anlayamıyorum” expresses inability: I cannot understand them well, matching the contrast.",anlamadım,"This means I did not understand, a specific past event.",anlamıyorum,"This means I do not understand, but does not specifically express the ability contrast targeted by the sentence.",anlamayacağım,This means I will not understand and is future.,A
tr-a2-023,A2,medium,grammar,necessity,-malı/-meli,Yarın önemli bir sınavın var. Bu akşam erken ___.,uyudun,This is past tense: you slept.,uyuyorsun,This states that you are sleeping/currently sleep; it does not express advice or necessity.,uyumalısın,"“Uyumalısın” means you should/must sleep, appropriate advice before an important exam.",uyuyacaksın,This predicts/states that you will sleep rather than expressing necessity.,C
tr-a2-024,A2,hard,grammar,imperative,polite command,Bir restoranda garsona kibarca hangisini söyleyebilirsiniz?,Bir su getir.,This is a direct singular command and can sound less polite to a server.,Bir su getiriyorsun.,"This is a statement-like present form, not a polite request.",Bir su getirdin.,This means you brought a water.,Bir su getirir misiniz?,The aorist question with second-person plural/polite form is a common polite request: “Could you bring a water?”,D
tr-a2-025,A2,easy,comprehension,sentence meaning,tense and case,“Toplantıdan sonra müdürle konuşacağım.” What does this mean?,I spoke with the manager before the meeting.,"The Turkish sentence is future, uses “sonra” (after), not before.",I will speak with the manager after the meeting.,"“Toplantıdan sonra” means after the meeting, “müdürle” means with the manager, and “konuşacağım” is future.",I am speaking to the manager during the meeting.,"The sentence does not say during, and the verb is future rather than present continuous.",I will leave the meeting with the manager.,"“Konuşmak” means to speak, not to leave.",B
tr-a2-026,A2,medium,dialogue,shopping,natural response,"Satıcı: “Başka bir şey ister misiniz?”
Müşteri: “___”","Hayır, teşekkür ederim. Bu kadar.","This is a natural response meaning “No, thank you. That's all.”",Saat üçte geldim.,"This answers a question about when someone arrived, not whether they want anything else.",Bence hava güzel.,This comments on the weather and does not respond to the seller.,İki kardeşim var.,This gives family information and is unrelated to the question.,A
tr-a2-027,A2,hard,dialogue,directions,natural response,"A: “Affedersiniz, metro istasyonu nerede?”
B: “___”",Ben metroya bindim.,This means I got on the metro and does not give directions.,Dün istasyon çok kalabalıktı.,This describes the station yesterday but does not answer where it is.,"Düz gidin, sonra sağa dönün.","This gives clear directions: go straight, then turn right.",Metro saat dokuzda geldi.,"This says when the metro arrived, not where the station is.",C
tr-a2-028,A2,easy,cloze,travel,case plus vocabulary,Otobüsten indikten sonra otele yürüyerek ___.,gittik,"“Otele” is the destination and “gittik” completes the past sequence naturally: after getting off the bus, we went to the hotel on foot.",geldik,"“Geldik” means we came; with no viewpoint establishing the hotel as “here,” “otele gittik” is the neutral fit.",çıktık,“Çıktık” means we went out/left and does not fit the destination “otele.”,bindik,“Bindik” means we got on a vehicle and does not fit walking to a hotel.,A
tr-a2-029,A2,medium,cloze,daily routine,sequence connector,"Önce duş alıyorum, ___ kahvaltı yapıyorum.",çünkü,"“Çünkü” introduces a reason, not the next event in a sequence.",sonra,"“Önce ... sonra ...” forms a natural sequence: first I shower, then I have breakfast.",ama,“Ama” expresses contrast.,veya,“Veya” expresses an alternative.,B
tr-a2-030,A2,hard,translation,English to Turkish,definite object,Choose the most natural Turkish translation of “I bought the book yesterday.” The speaker means a specific book already known in the conversation.,Dün kitap aldım.,"Without the accusative, this normally means I bought a book/books rather than the specific known book.",Dün kitaba aldım.,“Kitaba” is dative and cannot mark the direct object of “aldım.”,Dün kitabı aldım.,"The specific known book is a definite direct object, so “kitabı” correctly takes the accusative.",Dün kitapta aldım.,“Kitapta” is locative and means in/on the book.,C
tr-a2-031,A2,easy,translation,Turkish to English,present continuous,“Annem şu anda telefonda konuşuyor.”,My mother talks on the phone every day.,This describes a habit; “şu anda ... konuşuyor” specifically describes what is happening now.,My mother spoke on the phone.,"This is past tense, unlike “konuşuyor.”",My mother will talk on the phone.,"This is future, unlike “konuşuyor.”",My mother is talking on the phone right now.,“Şu anda” means right now and “konuşuyor” is present continuous.,D
tr-a2-032,A2,medium,error detection,cases,case selection,Which sentence contains a case-suffix error?,Sabah evden çıktım.,“Evden çıkmak” correctly uses the ablative for the place left.,Arkadaşıma bir mesaj gönderdim.,The recipient “arkadaşıma” correctly takes the dative.,Akşam restoranda buluşacağız.,“Restoranda” correctly marks the meeting location.,Her gün okulu gidiyorum.,"With “gitmek,” the destination should be dative: “okula gidiyorum,” not accusative “okulu.”",D
tr-a2-033,A2,hard,error detection,agreement,person ending,Which sentence is grammatically incorrect?,Ben dün çok çalıştım.,“Çalıştım” correctly agrees with first-person singular “ben.”,Biz hafta sonu denize gittik.,“Gittik” correctly agrees with first-person plural “biz.”,Sen bu filmi gördünüz.,"“Gördünüz” is second-person plural/polite; with singular informal “sen,” the form should be “gördün.”",Onlar erken geldiler.,“Geldiler” is a grammatical third-person plural form with “onlar.”,C
tr-a2-034,A2,easy,grammar,word order,neutral SOV,Which is the most neutral Turkish word order for “I read the newspaper every morning”?,Ben her sabah gazeteyi okurum.,"This follows a neutral subject–time–object–verb pattern, with the verb at the end.",Ben okurum gazeteyi her sabah.,"This order can occur with special discourse emphasis, but it is not the neutral order targeted here.",Gazeteyi okurum ben her sabah.,"This can be used with marked emphasis, but it is not the neutral default order.",Her sabah okurum ben gazeteyi.,This is also marked rather than the neutral default.,A
tr-a2-035,A2,medium,grammar,questions,kaç yıldır,___ yıldır İstanbul'da yaşıyorsun? — İki yıldır.,Ne zaman,"“Ne zaman” asks when, while the answer gives a duration.",Kaç,"“Kaç yıldır?” asks “for how many years?”, matching “İki yıldır.”",Nerede,"“Nerede” asks where, but the location is already stated.",Neden,“Neden” asks why.,B
tr-a2-036,A2,hard,vocabulary,movement,gitmek vs gelmek,"You are at home. Your friend calls and says, “Ben şimdi senin evine ___.” Which verb naturally completes the sentence from your friend's point of view?",geliyorum,"Because the destination is where the listener is, Turkish naturally uses “geliyorum”: I am coming to your house.",gidiyorum,"“Gidiyorum” generally presents movement away/toward another place; with the listener at the destination, “geliyorum” is the natural choice.",çıkıyorum,“Çıkıyorum” means I am going out/leaving.,dönüyorum,“Dönüyorum” means I am returning/turning.,A
tr-a2-037,A2,easy,grammar,postpositions,ile instrumental,İşe genellikle metro___ gidiyorum.,yu,“Metroyu” is accusative and would mark metro as a definite object.,da,"“Metroda” means in/on the metro, but the construction “metroda gidiyorum” is not the normal way to state the means of transport here.",dan,“Metrodan” means from the metro.,yla,“Metroyla” means by metro/with the metro; ile becomes -yla after the vowel.,D
tr-a2-038,A2,medium,comprehension,daily life,inference from simple text,“Mert'in arabası bozuk olduğu için bugün işe otobüsle gitti.” Why did Mert take the bus?,Because his car was broken.,“Arabası bozuk olduğu için” explicitly gives the reason: because his car was broken.,Because he missed the bus.,The sentence says he went by bus; it does not say he missed it.,Because he does not have a car.,"The sentence says “Mert'in arabası,” so he has a car.",Because his workplace was closed.,Nothing in the sentence says the workplace was closed.,A
tr-a2-039,A2,hard,grammar,copular,past nominal predicate,Geçen hafta hastaydım ama şimdi iyiyim. What does “hastaydım” express?,I will be sick.,That would require a future construction.,I was sick.,“-ydı” supplies past time and “-m” marks first-person singular: “I was sick.”,I am getting sick.,The form does not express an ongoing change.,I am not sick.,Negation would require “değil.”,B
tr-a2-040,A2,easy,dialogue,plans,appropriate reply,"A: “Bu akşam sinemaya gidelim mi?”
B: “___”","Olur, saat kaçta buluşalım?",This naturally accepts the suggestion and asks what time to meet.,Dün sinemaya gittim.,This reports a past event rather than responding to tonight's invitation.,Sinemanın yanında bir banka var.,This gives location information unrelated to accepting or declining the plan.,Film iki saat sürdü.,This describes the duration of a film in the past.,A
tr-b1-001,B1,medium,grammar,reported speech,-DIğini söylemek,"Ayşe, toplantıya gelemeyeceğini söyledi. Bu cümlenin en yakın anlamı hangisidir?",Ayşe said that she could not come to the meeting.,Correct: “gelemeyeceğini söyledi” reports that she said she would/could not come.,Ayşe asked whether the meeting was cancelled.,This would require a question structure such as “iptal olup olmadığını sordu.”,Ayşe said that everyone must come to the meeting.,There is no meaning of obligation or everybody attending.,Ayşe promised to organize the meeting.,There is no promise or organizing action in the sentence.,A
tr-b1-002,B1,hard,grammar,relative clauses,-(y)An participle,Dün bize yardım eden adam komşumuzmuş. “yardım eden” neyi tanımlar?,dün,“Dün” gives the time of the action.,bize,“Bize” is the recipient of the help.,adam,Correct: “yardım eden” is a participial phrase modifying “adam.”,komşumuzmuş,"“Komşumuzmuş” is the predicate, not the noun modified by the participle.",C
tr-b1-003,B1,medium,grammar,conditionals,-sA conditional,Hava güzel olursa hafta sonu pikniğe gideceğiz. Burada “olursa” ne ifade eder?,a completed past action,A completed past action would normally use past tense.,a condition for a future plan,Correct: good weather is the condition for the future picnic.,a repeated habit,"The sentence refers to a particular future plan, not a habitual action.",an order,The conditional form does not give an order here.,B
tr-b1-004,B1,hard,grammar,converb,-ken,Ben yemek yaparken telefon çaldı. İki olay arasındaki ilişki nedir?,The phone rang before I started cooking.,This would mean the call preceded the cooking.,The phone rang while I was cooking.,Correct: “-ken” shows that the phone rang during the ongoing cooking action.,I cooked because the phone rang.,“-ken” does not express cause here.,I finished cooking after making a call.,The sentence does not say the cooking was completed after a call.,B
tr-b1-005,B1,easy,vocabulary,work,context meaning,"Müdür, raporu cuma gününe kadar teslim etmemizi istedi. “teslim etmek” burada ne demektir?",to hand in,"Correct: a report is “teslim edilir,” meaning handed in/submitted.",to discuss,“Tartışmak” means to discuss.,to translate,“Çevirmek” means to translate.,to postpone,“Ertelemek” means to postpone.,A
tr-b1-006,B1,medium,grammar,necessity,-mAlI,Doktora göre daha düzenli uyumalısın. Bu cümle ne ifade eder?,permission,Permission is usually expressed with forms such as “-ebilirsin.”,advice or necessity,Correct: “-malısın” expresses necessity/advice directed at “you.”,past ability,Past ability would use a form such as “-ebiliyordun/-ebildin.”,uncertainty,The sentence gives advice rather than uncertainty.,B
tr-b1-007,B1,hard,grammar,passive,passive voice,Bu bina 1990 yılında inşa edildi. Hangisi aynı bilgiyi aktif biçimde verebilir?,1990 yılında bu binada yaşandı.,This means people lived in this building.,İşçiler bu binayı 1990 yılında inşa etti.,Correct: the passive “inşa edildi” can correspond to “İşçiler ... inşa etti.”,Bu bina 1990 yılını inşa etti.,A building cannot construct a year; the object/subject roles are wrong.,İşçiler 1990 yılında bu binadan ayrıldı.,This says the workers left the building.,B
tr-b1-008,B1,medium,grammar,causative,causative meaning,Saçımı kestirdim. Bu cümlede konuşan kişi ne yaptı?,Kendi saçını kendisi kesti.,That would normally be “Saçımı kestim.”,Başkasına saçını kestirdi.,Correct: “kestirdim” means the speaker had someone else cut their hair.,Birinin saçını ücretsiz kesti.,Nothing in the causative form implies doing it free of charge.,Saçını kesmekten vazgeçti.,There is no meaning of giving up or cancelling.,B
tr-b1-009,B1,easy,vocabulary,travel,context meaning,Otobüsü kaçırdığım için işe geç kaldım. “kaçırmak” burada ne demektir?,to miss,Correct: “otobüsü kaçırmak” means to miss the bus.,to drive,Driving a bus is “otobüs kullanmak.”,to repair,Repairing is “tamir etmek.”,to reserve,Reserving is “yer ayırtmak/rezerve etmek.”,A
tr-b1-010,B1,hard,grammar,indirect questions,-DIğini bilmek,Toplantının saat kaçta başladığını biliyor musun? Doğrudan soru hangisidir?,Toplantı saat kaçta başlıyor?,Correct: “saat kaçta başladığını” embeds the question “Saat kaçta başlıyor/başladı?”,Toplantı neden başlamadı?,"The sentence asks about time, not reason.",Toplantıya kim başladı?,It does not ask who started anything.,Toplantı ne kadar sürdü?,"It asks starting time, not duration.",A
tr-b1-011,B1,easy,vocabulary,daily life,context vocabulary,Bu cümleyi dikkatlice okuyun: Yoğun trafikten dolayı eve ancak saat sekizde varabildim. “varmak” ne demektir?,to arrive,Correct. This option matches the grammar or meaning in the sentence.,to leave,This option does not match the grammar or contextual meaning of the sentence.,to get lost,This option does not match the grammar or contextual meaning of the sentence.,to move house,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-012,B1,medium,grammar,purpose,-mek için,Bu cümleyi dikkatlice okuyun: Türkçemi geliştirmek için her gün haber okuyorum. “-mek için” ne ifade eder?,purpose,Correct. This option matches the grammar or meaning in the sentence.,comparison,This option does not match the grammar or contextual meaning of the sentence.,past habit,This option does not match the grammar or contextual meaning of the sentence.,unexpected result,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-013,B1,hard,grammar,contrast,-mesine rağmen,Bu cümleyi dikkatlice okuyun: Çok yorgun olmasına rağmen çalışmaya devam etti. Anlam hangisidir?,He continued working because he was energetic.,This option does not match the grammar or contextual meaning of the sentence.,"Although he was very tired, he continued working.",Correct. This option matches the grammar or meaning in the sentence.,He stopped working before getting tired.,This option does not match the grammar or contextual meaning of the sentence.,He worked so that he would become tired.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-014,B1,medium,grammar,time clauses,-DIkten sonra,Bu cümleyi dikkatlice okuyun: Yemek yedikten sonra yürüyüşe çıktık. Hangisi önce oldu?,We went for a walk.,This option does not match the grammar or contextual meaning of the sentence.,We ate.,Correct. This option matches the grammar or meaning in the sentence.,Both happened at exactly the same time.,This option does not match the grammar or contextual meaning of the sentence.,The sentence does not say.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-015,B1,medium,grammar,time clauses,-madan önce,Bu cümleyi dikkatlice okuyun: Evden çıkmadan önce pencereleri kontrol ettim. Hangisi doğrudur?,I checked the windows after leaving.,This option does not match the grammar or contextual meaning of the sentence.,I checked the windows before leaving.,Correct. This option matches the grammar or meaning in the sentence.,I did not check the windows.,This option does not match the grammar or contextual meaning of the sentence.,I left because the windows were open.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-016,B1,hard,grammar,reported past,-mIş inference,Bu cümleyi dikkatlice okuyun: Yerler ıslak; gece yağmur yağmış. “yağmış” burada neyi gösterir?,a direct command,This option does not match the grammar or contextual meaning of the sentence.,an inference from evidence,Correct. This option matches the grammar or meaning in the sentence.,a definite future plan,This option does not match the grammar or contextual meaning of the sentence.,a repeated habit,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-017,B1,easy,vocabulary,communication,context vocabulary,Bu cümleyi dikkatlice okuyun: Mesajıma henüz cevap vermedi. “cevap vermek” ne demektir?,to reply,Correct. This option matches the grammar or meaning in the sentence.,to delete,This option does not match the grammar or contextual meaning of the sentence.,to forward,This option does not match the grammar or contextual meaning of the sentence.,to print,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-018,B1,medium,grammar,ability,negative ability,Bu cümleyi dikkatlice okuyun: Bu yazıyı gözlüksüz okuyamıyorum. Anlam hangisidir?,I refuse to read it.,This option does not match the grammar or contextual meaning of the sentence.,I am unable to read it without glasses.,Correct. This option matches the grammar or meaning in the sentence.,I have never read it.,This option does not match the grammar or contextual meaning of the sentence.,I should not read it.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-019,B1,hard,grammar,relative clauses,-DIK possessive,Bu cümleyi dikkatlice okuyun: Geçen hafta aldığım kitap çok sürükleyici. “aldığım” hangi ismi tanımlar?,hafta,This option does not match the grammar or contextual meaning of the sentence.,kitap,Correct. This option matches the grammar or meaning in the sentence.,çok,This option does not match the grammar or contextual meaning of the sentence.,sürükleyici,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-020,B1,medium,grammar,reason,-DIği için,Bu cümleyi dikkatlice okuyun: Otobüs geciktiği için toplantıya yetişemedik. Neden yetişemedik?,The meeting ended early.,This option does not match the grammar or contextual meaning of the sentence.,The bus was late.,Correct. This option matches the grammar or meaning in the sentence.,We took a taxi.,This option does not match the grammar or contextual meaning of the sentence.,We forgot the meeting.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-021,B1,easy,vocabulary,education,context vocabulary,Bu cümleyi dikkatlice okuyun: Sınavdan önce bütün notlarımı tekrar ettim. “tekrar etmek” burada ne demektir?,to review,Correct. This option matches the grammar or meaning in the sentence.,to lose,This option does not match the grammar or contextual meaning of the sentence.,to copy illegally,This option does not match the grammar or contextual meaning of the sentence.,to submit,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-022,B1,hard,grammar,connectors,oysa,"Bu cümleyi dikkatlice okuyun: Hava güneşli görünüyordu, oysa oldukça soğuktu. “oysa” ne yapar?",adds a reason,This option does not match the grammar or contextual meaning of the sentence.,introduces a contrast,Correct. This option matches the grammar or meaning in the sentence.,gives a purpose,This option does not match the grammar or contextual meaning of the sentence.,lists a sequence,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-023,B1,medium,grammar,comparison,kadar,Bu cümleyi dikkatlice okuyun: Kardeşim benim kadar hızlı koşuyor. Anlam hangisidir?,My sibling runs faster than me.,This option does not match the grammar or contextual meaning of the sentence.,We run at roughly the same speed.,Correct. This option matches the grammar or meaning in the sentence.,I never run with my sibling.,This option does not match the grammar or contextual meaning of the sentence.,My sibling runs very slowly.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-024,B1,hard,grammar,gerund,-ip,Bu cümleyi dikkatlice okuyun: Eve gidip biraz dinleneceğim. “gidip” yapısı neyi bağlar?,two sequential actions by the same subject,Correct. This option matches the grammar or meaning in the sentence.,a condition and result,This option does not match the grammar or contextual meaning of the sentence.,a reported statement,This option does not match the grammar or contextual meaning of the sentence.,a comparison,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-025,B1,medium,grammar,obligation,zorunda olmak,Bu cümleyi dikkatlice okuyun: Yarın erken kalkmak zorundayım. En yakın anlam hangisidir?,I may wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I have to wake up early.,Correct. This option matches the grammar or meaning in the sentence.,I used to wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I wish I woke up early.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-026,B1,easy,vocabulary,health,context vocabulary,Bu cümleyi dikkatlice okuyun: Doktor ilacı günde iki kez kullanmamı önerdi. “önermek” ne demektir?,to recommend,Correct. This option matches the grammar or meaning in the sentence.,to forbid,This option does not match the grammar or contextual meaning of the sentence.,to forget,This option does not match the grammar or contextual meaning of the sentence.,to measure,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-027,B1,hard,grammar,indirect speech,-mesini istemek,Bu cümleyi dikkatlice okuyun: Annem eve erken gelmemi istedi. Anlam hangisidir?,My mother wanted me to come home early.,Correct. This option matches the grammar or meaning in the sentence.,My mother said she would come home early.,This option does not match the grammar or contextual meaning of the sentence.,I wanted my mother to leave early.,This option does not match the grammar or contextual meaning of the sentence.,My mother asked where home was.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-028,B1,medium,grammar,future in past,-ecekti,Bu cümleyi dikkatlice okuyun: Saat sekizde başlayacaktı ama toplantı ertelendi. Ne anlıyoruz?,It was supposed to start at eight.,Correct. This option matches the grammar or meaning in the sentence.,It definitely started at eight.,This option does not match the grammar or contextual meaning of the sentence.,It had ended by eight.,This option does not match the grammar or contextual meaning of the sentence.,It starts at eight every day.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-029,B1,hard,grammar,reciprocal,-iş,Bu cümleyi dikkatlice okuyun: İki arkadaş uzun süre bakıştı. “bakıştı” neyi anlatır?,They looked at each other.,Correct. This option matches the grammar or meaning in the sentence.,They both looked at a third person.,This option does not match the grammar or contextual meaning of the sentence.,One of them closed their eyes.,This option does not match the grammar or contextual meaning of the sentence.,They searched for something together.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-030,B1,medium,vocabulary,abstract,context vocabulary,Bu cümleyi dikkatlice okuyun: Bu kararın sonuçlarını dikkatlice değerlendirmeliyiz. “değerlendirmek” ne demektir?,to evaluate,Correct. This option matches the grammar or meaning in the sentence.,to hide,This option does not match the grammar or contextual meaning of the sentence.,to announce,This option does not match the grammar or contextual meaning of the sentence.,to repeat,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-031,B1,easy,vocabulary,daily life,context vocabulary,Bağlama göre: Yoğun trafikten dolayı eve ancak saat sekizde varabildim. “varmak” ne demektir?,to arrive,Correct. This option matches the grammar or meaning in the sentence.,to leave,This option does not match the grammar or contextual meaning of the sentence.,to get lost,This option does not match the grammar or contextual meaning of the sentence.,to move house,This option does not match the grammar or contextual meaning of the sentence.,A
